question_id,cluster_id,model,score
passage-003-q2,passage-003,baseline-70b,0
passage-003-q2,passage-003,tuned-70b,0
passage-003-q3,passage-003,baseline-7b,1
passage-003-q3,passage-003,tuned-7b,0
passage-003-q3,passage-003,baseline-70b,1
passage-003-q3,passage-003,tuned-70b,1
passage-003-q4,passage-003,baseline-7b,0
passage-003-q4,passage-003,tuned-7b,0
passage-003-q4,passage-003,baseline-70b,0
passage-003-q4,passage-003,tuned-70b,1
passage-004-q0,passage-004,baseline-7b,1
passage-004-q0,passage-004,tuned-7b,1
passage-004-q0,passage-004,baseline-70b,1
passage-004-q0,passage-004,tuned-70b,1
passage-004-q1,passage-004,baseline-7b,1
passage-004-q1,passage-004,tuned-7b,1
passage-004-q1,passage-004,baseline-70b,0
passage-004-q1,passage-004,tuned-70b,1
passage-004-q2,passage-004,baseline-7b,0
passage-004-q2,passage-004,tuned-7b,1
passage-004-q2,passage-004,baseline-70b,1
passage-004-q2,passage-004,tuned-70b,1
passage-004-q3,passage-004,baseline-7b,1
passage-004-q3,passage-004,tuned-7b,1
passage-004-q3,passage-004,baseline-70b,1
passage-004-q3,passage-004,tuned-70b,1
passage-004-q4,passage-004,baseline-7b,0
passage-004-q4,passage-004,tuned-7b,0
passage-004-q4,passage-004,baseline-70b,0
passage-004-q4,passage-004,tuned-70b,1
passage-005-q0,passage-005,baseline-7b,0
passage-005-q0,passage-005,tuned-7b,0
passage-005-q0,passage-005,baseline-70b,0
passage-005-q0,passage-005,tuned-70b,1
passage-005-q1,passage-005,baseline-7b,0
passage-005-q1,passage-005,tuned-7b,0
passage-005-q1,passage-005,baseline-70b,0
passage-005-q1,passage-005,tuned-70b,1
passage-005-q2,passage-005,baseline-7b,1
passage-005-q2,passage-005,tuned-7b,0
passage-005-q2,passage-005,baseline-70b,1
passage-005-q2,passage-005,tuned-70b,1
passage-005-q3,passage-005,baseline-7b,0
passage-005-q3,passage-005,tuned-7b,0
passage-005-q3,passage-005,baseline-70b,0
passage-005-q3,passage-005,tuned-70b,1
passage-005-q4,passage-005,baseline-7b,1
passage-005-q4,passage-005,tuned-7b,0
passage-005-q4,passage-005,baseline-70b,0
passage-005-q4,passage-005,tuned-70b,1
passage-006-q0,passage-006,baseline-7b,0
passage-006-q0,passage-006,tuned-7b,0
passage-006-q0,passage-006,baseline-70b,0
passage-006-q0,passage-006,tuned-70b,0
passage-006-q1,passage-006,baseline-7b,0
passage-006-q1,passage-006,tuned-7b,1
passage-006-q1,passage-006,baseline-70b,1
passage-006-q1,passage-006,tuned-70b,1
passage-006-q2,passage-006,baseline-7b,0
passage-006-q2,passage-006,tuned-7b,0
passage-006-q2,passage-006,baseline-70b,1
passage-006-q2,passage-006,tuned-70b,1
passage-006-q3,passage-006,baseline-7b,1
passage-006-q3,passage-006,tuned-7b,1
passage-006-q3,passage-006,baseline-70b,1
passage-006-q3,passage-006,tuned-70b,1
passage-006-q4,passage-006,baseline-7b,0
passage-006-q4,passage-006,tuned-7b,0
passage-006-q4,passage-006,baseline-70b,1
passage-006-q4,passage-006,tuned-70b,1
passage-007-q0,passage-007,baseline-7b,0
passage-007-q0,passage-007,tuned-7b,0
passage-007-q0,passage-007,baseline-70b,0
passage-007-q0,passage-007,tuned-70b,0
passage-007-q1,passage-007,baseline-7b,0
passage-007-q1,passage-007,tuned-7b,0
passage-007-q1,passage-007,baseline-70b,0
passage-007-q1,passage-007,tuned-70b,1
passage-007-q2,passage-007,baseline-7b,0
passage-007-q2,passage-007,tuned-7b,0
passage-007-q2,passage-007,baseline-70b,0
passage-007-q2,passage-007,tuned-70b,0
passage-007-q3,passage-007,baseline-7b,1
passage-007-q3,passage-007,tuned-7b,0
passage-007-q3,passage-007,baseline-70b,0
passage-007-q3,passage-007,tuned-70b,0
passage-007-q4,passage-007,baseline-7b,0
passage-007-q4,passage-007,tuned-7b,0
passage-007-q4,passage-007,baseline-70b,0
passage-007-q4,passage-007,tuned-70b,0
passage-008-q0,passage-008,baseline-7b,1
passage-008-q0,passage-008,tuned-7b,1
passage-008-q0,passage-008,baseline-70b,1
passage-008-q0,passage-008,tuned-70b,1
passage-008-q1,passage-008,baseline-7b,0
passage-008-q1,passage-008,tuned-7b,0
passage-008-q1,passage-008,baseline-70b,0
passage-008-q1,passage-008,tuned-70b,0
passage-008-q2,passage-008,baseline-7b,0
passage-008-q2,passage-008,tuned-7b,0
passage-008-q2,passage-008,baseline-70b,1
passage-008-q2,passage-008,tuned-70b,0
passage-008-q3,passage-008,baseline-7b,1
passage-008-q3,passage-008,tuned-7b,0
passage-008-q3,passage-008,baseline-70b,1
passage-008-q3,passage-008,tuned-70b,1
passage-008-q4,passage-008,baseline-7b,0
passage-008-q4,passage-008,tuned-7b,0
passage-008-q4,passage-008,baseline-70b,0
passage-008-q4,passage-008,tuned-70b,1
passage-009-q0,passage-009,baseline-7b,0
passage-009-q0,passage-009,tuned-7b,0
passage-009-q0,passage-009,baseline-70b,1
passage-009-q0,passage-009,tuned-70b,1
passage-009-q1,passage-009,baseline-7b,1
passage-009-q1,passage-009,tuned-7b,0
passage-009-q1,passage-009,baseline-70b,0
passage-009-q1,passage-009,tuned-70b,1
passage-009-q2,passage-009,baseline-7b,0
passage-009-q2,passage-009,tuned-7b,0
passage-009-q2,passage-009,baseline-70b,1
passage-009-q2,passage-009,tuned-70b,1
passage-009-q3,passage-009,baseline-7b,0
passage-009-q3,passage-009,tuned-7b,1
passage-009-q3,passage-009,baseline-70b,0
passage-009-q3,passage-009,tuned-70b,0
passage-009-q4,passage-009,baseline-7b,0
passage-009-q4,passage-009,tuned-7b,0
passage-009-q4,passage-009,baseline-70b,1
passage-009-q4,passage-009,tuned-70b,0
passage-010-q0,passage-010,baseline-7b,1
passage-010-q0,passage-010,tuned-7b,1
passage-010-q0,passage-010,baseline-70b,1
passage-010-q0,passage-010,tuned-70b,1
passage-010-q1,passage-010,baseline-7b,1
passage-010-q1,passage-010,tuned-7b,1
passage-010-q1,passage-010,baseline-70b,1
passage-010-q1,passage-010,tuned-70b,1
passage-010-q2,passage-010,baseline-7b,1
passage-010-q2,passage-010,tuned-7b,1
passage-010-q2,passage-010,baseline-70b,1
passage-010-q2,passage-010,tuned-70b,1
passage-010-q3,passage-010,baseline-7b,1
passage-010-q3,passage-010,tuned-7b,1
passage-010-q3,passage-010,baseline-70b,1
passage-010-q3,passage-010,tuned-70b,1
passage-010-q4,passage-010,baseline-7b,1
passage-010-q4,passage-010,tuned-7b,1
passage-010-q4,passage-010,baseline-70b,1
passage-010-q4,passage-010,tuned-70b,1
passage-011-q0,passage-011,baseline-7b,0
passage-011-q0,passage-011,tuned-7b,1
passage-011-q0,passage-011,baseline-70b,1
passage-011-q0,passage-011,tuned-70b,1
passage-011-q1,passage-011,baseline-7b,0
passage-011-q1,passage-011,tuned-7b,0
passage-011-q1,passage-011,baseline-70b,0
passage-011-q1,passage-011,tuned-70b,1
passage-011-q2,passage-011,baseline-7b,0
passage-011-q2,passage-011,tuned-7b,1
passage-011-q2,passage-011,baseline-70b,0
passage-011-q2,passage-011,tuned-70b,1
passage-011-q3,passage-011,baseline-7b,0
passage-011-q3,passage-011,tuned-7b,0
passage-011-q3,passage-011,baseline-70b,0
passage-011-q3,passage-011,tuned-70b,1
passage-011-q4,passage-011,baseline-7b,1
passage-011-q4,passage-011,tuned-7b,1
passage-011-q4,passage-011,baseline-70b,1
passage-011-q4,passage-011,tuned-70b,0
passage-012-q0,passage-012,baseline-7b,0
passage-012-q0,passage-012,tuned-7b,0
passage-012-q0,passage-012,baseline-70b,1
passage-012-q0,passage-012,tuned-70b,0
passage-012-q1,passage-012,baseline-7b,1
passage-012-q1,passage-012,tuned-7b,1
passage-012-q1,passage-012,baseline-70b,1
passage-012-q1,passage-012,tuned-70b,1
passage-012-q2,passage-012,baseline-7b,1
passage-012-q2,passage-012,tuned-7b,1
passage-012-q2,passage-012,baseline-70b,1
passage-012-q2,passage-012,tuned-70b,1
passage-012-q3,passage-012,baseline-7b,1
passage-012-q3,passage-012,tuned-7b,0
passage-012-q3,passage-012,baseline-70b,1
passage-012-q3,passage-012,tuned-70b,1
passage-012-q4,passage-012,baseline-7b,0
passage-012-q4,passage-012,tuned-7b,0
passage-012-q4,passage-012,baseline-70b,1
passage-012-q4,passage-012,tuned-70b,0
passage-013-q0,passage-013,baseline-7b,0
passage-013-q0,passage-013,tuned-7b,0
passage-013-q0,passage-013,baseline-70b,0
passage-013-q0,passage-013,tuned-70b,0
passage-013-q1,passage-013,baseline-7b,1
passage-013-q1,passage-013,tuned-7b,1
passage-013-q1,passage-013,baseline-70b,0
passage-013-q1,passage-013,tuned-70b,0
passage-013-q2,passage-013,baseline-7b,0
passage-013-q2,passage-013,tuned-7b,0
passage-013-q2,passage-013,baseline-70b,1
passage-013-q2,passage-013,tuned-70b,1
passage-013-q3,passage-013,baseline-7b,0
passage-013-q3,passage-013,tuned-7b,0
passage-013-q3,passage-013,baseline-70b,1
passage-013-q3,passage-013,tuned-70b,1
passage-013-q4,passage-013,baseline-7b,0
passage-013-q4,passage-013,tuned-7b,0
passage-013-q4,passage-013,baseline-70b,0
passage-013-q4,passage-013,tuned-70b,1
passage-014-q0,passage-014,baseline-7b,1
passage-014-q0,passage-014,tuned-7b,1
passage-014-q0,passage-014,baseline-70b,1
passage-014-q0,passage-014,tuned-70b,0
passage-014-q1,passage-014,baseline-7b,1
passage-014-q1,passage-014,tuned-7b,1
passage-014-q1,passage-014,baseline-70b,1
passage-014-q1,passage-014,tuned-70b,1
passage-014-q2,passage-014,baseline-7b,1
passage-014-q2,passage-014,tuned-7b,1
passage-014-q2,passage-014,baseline-70b,1
passage-014-q2,passage-014,tuned-70b,1
passage-014-q3,passage-014,baseline-7b,1
passage-014-q3,passage-014,tuned-7b,0
passage-014-q3,passage-014,baseline-70b,1
passage-014-q3,passage-014,tuned-70b,1
passage-014-q4,passage-014,baseline-7b,1
passage-014-q4,passage-014,tuned-7b,1
passage-014-q4,passage-014,baseline-70b,1
passage-014-q4,passage-014,tuned-70b,1
passage-015-q0,passage-015,baseline-7b,1
passage-015-q0,passage-015,tuned-7b,1
passage-015-q0,passage-015,baseline-70b,1
passage-015-q0,passage-015,tuned-70b,1
passage-015-q1,passage-015,baseline-7b,1
passage-015-q1,passage-015,tuned-7b,1
passage-015-q1,passage-015,baseline-70b,1
passage-015-q1,passage-015,tuned-70b,1
passage-015-q2,passage-015,baseline-7b,0
passage-015-q2,passage-015,tuned-7b,1
passage-015-q2,passage-015,baseline-70b,1
passage-015-q2,passage-015,tuned-70b,1
passage-015-q3,passage-015,baseline-7b,1
passage-015-q3,passage-015,tuned-7b,1
passage-015-q3,passage-015,baseline-70b,1
passage-015-q3,passage-015,tuned-70b,1
passage-015-q4,passage-015,baseline-7b,0
passage-015-q4,passage-015,tuned-7b,1
passage-015-q4,passage-015,baseline-70b,0
passage-015-q4,passage-015,tuned-70b,1
passage-016-q0,passage-016,baseline-7b,1
passage-016-q0,passage-016,tuned-7b,1
passage-016-q0,passage-016,baseline-70b,0
passage-016-q0,passage-016,tuned-70b,1
passage-016-q1,passage-016,baseline-7b,1
passage-016-q1,passage-016,tuned-7b,0
passage-016-q1,passage-016,baseline-70b,1
passage-016-q1,passage-016,tuned-70b,1
passage-016-q2,passage-016,baseline-7b,0
passage-016-q2,passage-016,tuned-7b,0
passage-016-q2,passage-016,baseline-70b,1
passage-016-q2,passage-016,tuned-70b,1
passage-016-q3,passage-016,baseline-7b,1
passage-016-q3,passage-016,tuned-7b,0
passage-016-q3,passage-016,baseline-70b,0
passage-016-q3,passage-016,tuned-70b,1
passage-016-q4,passage-016,baseline-7b,1
passage-016-q4,passage-016,tuned-7b,1
passage-016-q4,passage-016,baseline-70b,1
passage-016-q4,passage-016,tuned-70b,1
passage-017-q0,passage-017,baseline-7b,1
passage-017-q0,passage-017,tuned-7b,1
passage-017-q0,passage-017,baseline-70b,1
passage-017-q0,passage-017,tuned-70b,1
passage-017-q1,passage-017,baseline-7b,1
passage-017-q1,passage-017,tuned-7b,1
passage-017-q1,passage-017,baseline-70b,0
passage-017-q1,passage-017,tuned-70b,1
passage-017-q2,passage-017,baseline-7b,1
passage-017-q2,passage-017,tuned-7b,1
passage-017-q2,passage-017,baseline-70b,0
passage-017-q2,passage-017,tuned-70b,1
passage-017-q3,passage-017,baseline-7b,0
passage-017-q3,passage-017,tuned-7b,1
passage-017-q3,passage-017,baseline-70b,0
passage-017-q3,passage-017,tuned-70b,0
passage-017-q4,passage-017,baseline-7b,1
passage-017-q4,passage-017,tuned-7b,1
passage-017-q4,passage-017,baseline-70b,0
passage-017-q4,passage-017,tuned-70b,1
passage-018-q0,passage-018,baseline-7b,1
passage-018-q0,passage-018,tuned-7b,0
passage-018-q0,passage-018,baseline-70b,0
passage-018-q0,passage-018,tuned-70b,0
passage-018-q1,passage-018,baseline-7b,1
passage-018-q1,passage-018,tuned-7b,0
passage-018-q1,passage-018,baseline-70b,1
passage-018-q1,passage-018,tuned-70b,1
passage-018-q2,passage-018,baseline-7b,0
passage-018-q2,passage-018,tuned-7b,1
passage-018-q2,passage-018,baseline-70b,1
passage-018-q2,passage-018,tuned-70b,0
passage-018-q3,passage-018,baseline-7b,0
passage-018-q3,passage-018,tuned-7b,1
passage-018-q3,passage-018,baseline-70b,0
passage-018-q3,passage-018,tuned-70b,1
passage-018-q4,passage-018,baseline-7b,0
passage-018-q4,passage-018,tuned-7b,1
passage-018-q4,passage-018,baseline-70b,0
passage-018-q4,passage-018,tuned-70b,0
passage-019-q0,passage-019,baseline-7b,0
passage-019-q0,passage-019,tuned-7b,1
passage-019-q0,passage-019,baseline-70b,0
passage-019-q0,passage-019,tuned-70b,0
passage-019-q1,passage-019,baseline-7b,1
passage-019-q1,passage-019,tuned-7b,1
passage-019-q1,passage-019,baseline-70b,1
passage-019-q1,passage-019,tuned-70b,1
passage-019-q2,passage-019,baseline-7b,0
passage-019-q2,passage-019,tuned-7b,1
passage-019-q2,passage-019,baseline-70b,1
passage-019-q2,passage-019,tuned-70b,0
passage-019-q3,passage-019,baseline-7b,1
passage-019-q3,passage-019,tuned-7b,1
passage-019-q3,passage-019,baseline-70b,1
passage-019-q3,passage-019,tuned-70b,0
passage-019-q4,passage-019,baseline-7b,0
passage-019-q4,passage-019,tuned-7b,1
passage-019-q4,passage-019,baseline-70b,1
passage-019-q4,passage-019,tuned-70b,1
passage-020-q0,passage-020,baseline-7b,0
passage-020-q0,passage-020,tuned-7b,1
passage-020-q0,passage-020,baseline-70b,0
passage-020-q0,passage-020,tuned-70b,0
passage-020-q1,passage-020,baseline-7b,0
passage-020-q1,passage-020,tuned-7b,0
passage-020-q1,passage-020,baseline-70b,0
passage-020-q1,passage-020,tuned-70b,0
passage-020-q2,passage-020,baseline-7b,0
passage-020-q2,passage-020,tuned-7b,1
passage-020-q2,passage-020,baseline-70b,0
passage-020-q2,passage-020,tuned-70b,1
passage-020-q3,passage-020,baseline-7b,1
passage-020-q3,passage-020,tuned-7b,0
passage-020-q3,passage-020,baseline-70b,1
passage-020-q3,passage-020,tuned-70b,0
passage-020-q4,passage-020,baseline-7b,0
passage-020-q4,passage-020,tuned-7b,0
passage-020-q4,passage-020,baseline-70b,0
passage-020-q4,passage-020,tuned-70b,1
passage-021-q0,passage-021,baseline-7b,1
passage-021-q0,passage-021,tuned-7b,0
passage-021-q0,passage-021,baseline-70b,0
passage-021-q0,passage-021,tuned-70b,1
passage-021-q1,passage-021,baseline-7b,0
passage-021-q1,passage-021,tuned-7b,0
passage-021-q1,passage-021,baseline-70b,0
passage-021-q1,passage-021,tuned-70b,1
passage-021-q2,passage-021,baseline-7b,0
passage-021-q2,passage-021,tuned-7b,0
passage-021-q2,passage-021,baseline-70b,1
passage-021-q2,passage-021,tuned-70b,0
passage-021-q3,passage-021,baseline-7b,0
passage-021-q3,passage-021,tuned-7b,0
passage-021-q3,passage-021,baseline-70b,0
passage-021-q3,passage-021,tuned-70b,1
passage-021-q4,passage-021,baseline-7b,1
passage-021-q4,passage-021,tuned-7b,1
passage-021-q4,passage-021,baseline-70b,1
passage-021-q4,passage-021,tuned-70b,1
passage-022-q0,passage-022,baseline-7b,0
passage-022-q0,passage-022,tuned-7b,0
passage-022-q0,passage-022,baseline-70b,0
passage-022-q0,passage-022,tuned-70b,1
passage-022-q1,passage-022,baseline-7b,0
passage-022-q1,passage-022,tuned-7b,0
passage-022-q1,passage-022,baseline-70b,0
passage-022-q1,passage-022,tuned-70b,1
passage-022-q2,passage-022,baseline-7b,1
passage-022-q2,passage-022,tuned-7b,1
passage-022-q2,passage-022,baseline-70b,1
passage-022-q2,passage-022,tuned-70b,0
passage-022-q3,passage-022,baseline-7b,0
passage-022-q3,passage-022,tuned-7b,0
passage-022-q3,passage-022,baseline-70b,0
passage-022-q3,passage-022,tuned-70b,1
passage-022-q4,passage-022,baseline-7b,1
passage-022-q4,passage-022,tuned-7b,0
passage-022-q4,passage-022,baseline-70b,1
passage-022-q4,passage-022,tuned-70b,1
passage-023-q0,passage-023,baseline-7b,0
passage-023-q0,passage-023,tuned-7b,1
passage-023-q0,passage-023,baseline-70b,0
passage-023-q0,passage-023,tuned-70b,1
passage-023-q1,passage-023,baseline-7b,1
passage-023-q1,passage-023,tuned-7b,1
passage-023-q1,passage-023,baseline-70b,1
passage-023-q1,passage-023,tuned-70b,0
passage-023-q2,passage-023,baseline-7b,0
passage-023-q2,passage-023,tuned-7b,1
passage-023-q2,passage-023,baseline-70b,1
passage-023-q2,passage-023,tuned-70b,1
passage-023-q3,passage-023,baseline-7b,1
passage-023-q3,passage-023,tuned-7b,0
passage-023-q3,passage-023,baseline-70b,1
passage-023-q3,passage-023,tuned-70b,0
passage-023-q4,passage-023,baseline-7b,0
passage-023-q4,passage-023,tuned-7b,1
passage-023-q4,passage-023,baseline-70b,0
passage-023-q4,passage-023,tuned-70b,0
passage-024-q0,passage-024,baseline-7b,0
passage-024-q0,passage-024,tuned-7b,0
passage-024-q0,passage-024,baseline-70b,1
passage-024-q0,passage-024,tuned-70b,1
passage-024-q1,passage-024,baseline-7b,1
passage-024-q1,passage-024,tuned-7b,0
passage-024-q1,passage-024,baseline-70b,0
passage-024-q1,passage-024,tuned-70b,1
passage-024-q2,passage-024,baseline-7b,0
passage-024-q2,passage-024,tuned-7b,0
passage-024-q2,passage-024,baseline-70b,1
passage-024-q2,passage-024,tuned-70b,0
passage-024-q3,passage-024,baseline-7b,1
passage-024-q3,passage-024,tuned-7b,1
passage-024-q3,passage-024,baseline-70b,1
passage-024-q3,passage-024,tuned-70b,1
passage-024-q4,passage-024,baseline-7b,1
passage-024-q4,passage-024,tuned-7b,0
passage-024-q4,passage-024,baseline-70b,1
passage-024-q4,passage-024,tuned-70b,0
passage-025-q0,passage-025,baseline-7b,0
passage-025-q0,passage-025,tuned-7b,0
passage-025-q0,passage-025,baseline-70b,1
passage-025-q0,passage-025,tuned-70b,1
passage-025-q1,passage-025,baseline-7b,1
passage-025-q1,passage-025,tuned-7b,1
passage-025-q1,passage-025,baseline-70b,1
passage-025-q1,passage-025,tuned-70b,0
passage-025-q2,passage-025,baseline-7b,0
passage-025-q2,passage-025,tuned-7b,0
passage-025-q2,passage-025,baseline-70b,1
passage-025-q2,passage-025,tuned-70b,0
passage-025-q3,passage-025,baseline-7b,0
passage-025-q3,passage-025,tuned-7b,1
passage-025-q3,passage-025,baseline-70b,0
passage-025-q3,passage-025,tuned-70b,1
passage-025-q4,passage-025,baseline-7b,1
passage-025-q4,passage-025,tuned-7b,1
passage-025-q4,passage-025,baseline-70b,1
passage-025-q4,passage-025,tuned-70b,1
passage-026-q0,passage-026,baseline-7b,1
passage-026-q0,passage-026,tuned-7b,1
passage-026-q0,passage-026,baseline-70b,1
passage-026-q0,passage-026,tuned-70b,1
passage-026-q1,passage-026,baseline-7b,1
passage-026-q1,passage-026,tuned-7b,1
passage-026-q1,passage-026,baseline-70b,1
passage-026-q1,passage-026,tuned-70b,1
passage-026-q2,passage-026,baseline-7b,1
passage-026-q2,passage-026,tuned-7b,1
passage-026-q2,passage-026,baseline-70b,1
passage-026-q2,passage-026,tuned-70b,0
passage-026-q3,passage-026,baseline-7b,0
passage-026-q3,passage-026,tuned-7b,0
passage-026-q3,passage-026,baseline-70b,1
passage-026-q3,passage-026,tuned-70b,0
passage-026-q4,passage-026,baseline-7b,0
passage-026-q4,passage-026,tuned-7b,1
passage-026-q4,passage-026,baseline-70b,1
passage-026-q4,passage-026,tuned-70b,1
passage-027-q0,passage-027,baseline-7b,0
passage-027-q0,passage-027,tuned-7b,0
passage-027-q0,passage-027,baseline-70b,0
passage-027-q0,passage-027,tuned-70b,0
passage-027-q1,passage-027,baseline-7b,0
passage-027-q1,passage-027,tuned-7b,0
passage-027-q1,passage-027,baseline-70b,1
passage-027-q1,passage-027,tuned-70b,1
passage-027-q2,passage-027,baseline-7b,0
passage-027-q2,passage-027,tuned-7b,0
passage-027-q2,passage-027,baseline-70b,0
passage-027-q2,passage-027,tuned-70b,1
passage-027-q3,passage-027,baseline-7b,1
passage-027-q3,passage-027,tuned-7b,0
passage-027-q3,passage-027,baseline-70b,1
passage-027-q3,passage-027,tuned-70b,0
passage-027-q4,passage-027,baseline-7b,0
passage-027-q4,passage-027,tuned-7b,1
passage-027-q4,passage-027,baseline-70b,1
passage-027-q4,passage-027,tuned-70b,0
passage-028-q0,passage-028,baseline-7b,1
passage-028-q0,passage-028,tuned-7b,1
passage-028-q0,passage-028,baseline-70b,0
passage-028-q0,passage-028,tuned-70b,0
passage-028-q1,passage-028,baseline-7b,1
passage-028-q1,passage-028,tuned-7b,0
passage-028-q1,passage-028,baseline-70b,1
passage-028-q1,passage-028,tuned-70b,0
passage-028-q2,passage-028,baseline-7b,1
passage-028-q2,passage-028,tuned-7b,0
passage-028-q2,passage-028,baseline-70b,1
passage-028-q2,passage-028,tuned-70b,0
passage-028-q3,passage-028,baseline-7b,0
passage-028-q3,passage-028,tuned-7b,1
passage-028-q3,passage-028,baseline-70b,0
passage-028-q3,passage-028,tuned-70b,1
passage-028-q4,passage-028,baseline-7b,0
passage-028-q4,passage-028,tuned-7b,0
passage-028-q4,passage-028,baseline-70b,1
passage-028-q4,passage-028,tuned-70b,1
passage-029-q0,passage-029,baseline-7b,1
passage-029-q0,passage-029,tuned-7b,1
passage-029-q0,passage-029,baseline-70b,0
passage-029-q0,passage-029,tuned-70b,1
passage-029-q1,passage-029,baseline-7b,0
passage-029-q1,passage-029,tuned-7b,1
passage-029-q1,passage-029,baseline-70b,0
passage-029-q1,passage-029,tuned-70b,1
passage-029-q2,passage-029,baseline-7b,0
passage-029-q2,passage-029,tuned-7b,0
passage-029-q2,passage-029,baseline-70b,1
passage-029-q2,passage-029,tuned-70b,1
passage-029-q3,passage-029,baseline-7b,0
passage-029-q3,passage-029,tuned-7b,1
passage-029-q3,passage-029,baseline-70b,1
passage-029-q3,passage-029,tuned-70b,1
passage-029-q4,passage-029,baseline-7b,0
passage-029-q4,passage-029,tuned-7b,1
passage-029-q4,passage-029,baseline-70b,1
passage-029-q4,passage-029,tuned-70b,0
passage-030-q0,passage-030,baseline-7b,1
passage-030-q0,passage-030,tuned-7b,1
passage-030-q0,passage-030,baseline-70b,0
passage-030-q0,passage-030,tuned-70b,0
passage-030-q1,passage-030,baseline-7b,0
passage-030-q1,passage-030,tuned-7b,1
passage-030-q1,passage-030,baseline-70b,1
passage-030-q1,passage-030,tuned-70b,1
passage-030-q2,passage-030,baseline-7b,0
passage-030-q2,passage-030,tuned-7b,1
passage-030-q2,passage-030,baseline-70b,1
passage-030-q2,passage-030,tuned-70b,0
passage-030-q3,passage-030,baseline-7b,1
passage-030-q3,passage-030,tuned-7b,0
passage-030-q3,passage-030,baseline-70b,1
passage-030-q3,passage-030,tuned-70b,1
passage-030-q4,passage-030,baseline-7b,1
passage-030-q4,passage-030,tuned-7b,1
passage-030-q4,passage-030,baseline-70b,0
passage-030-q4,passage-030,tuned-70b,0
passage-031-q0,passage-031,baseline-7b,0
passage-031-q0,passage-031,tuned-7b,1
passage-031-q0,passage-031,baseline-70b,1
passage-031-q0,passage-031,tuned-70b,1
passage-031-q1,passage-031,baseline-7b,1
passage-031-q1,passage-031,tuned-7b,1
passage-031-q1,passage-031,baseline-70b,1
passage-031-q1,passage-031,tuned-70b,1
passage-031-q2,passage-031,baseline-7b,1
passage-031-q2,passage-031,tuned-7b,1
passage-031-q2,passage-031,baseline-70b,0
passage-031-q2,passage-031,tuned-70b,1
passage-031-q3,passage-031,baseline-7b,1
passage-031-q3,passage-031,tuned-7b,0
passage-031-q3,passage-031,baseline-70b,0
